LF_Genre,Mapped_YouView_Genre_1,Mapped_YouView_Genre_2
Television > Travel/Places of Interest,urn:tva:metadata:cs:ContentCS:2010:3.8.9,
Television > Whodunnit,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4,
Thriller > Action/Adventure,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6
Thriller > African-American,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,
Thriller > Crime,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4
Thriller > Drama,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4
Thriller > Erotic,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,
Thriller > General,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,
Thriller > Bollywood,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3
Thriller > Mystery,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4
Thriller > Political,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.20
Thriller > Psychological,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.19
Thriller > Romance,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.3
Thriller > Sci-Fi/Fantasy,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7
Thriller > Supernatural,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7
Thriller > Television,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,
Thriller > Whodunnit,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4
World Cinema > African,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Australia,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Chinese,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Danish,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > French,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > German,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Indian/Pakistani,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Italian,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Japanese,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Korean,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Middle East,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > New Zealand,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Polish,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Russian,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Spanish,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Swedish,urn:tva:metadata:cs:ContentCS:2010:3.4,
Action/Adventure,urn:tva:metadata:cs:ContentCS:2010:3.4.6,
Adult,urn:tva:metadata:cs:ContentCS:2010:3.9,
Animated,urn:tva:metadata:cs:FormatCS:2010:2.3.3,
Bollywood,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3,
Children,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1,
Comedy,urn:tva:metadata:cs:ContentCS:2010:3.5.7,
Documentary,urn:tva:metadata:cs:ContentCS:2010:3.1,
Drama,urn:tva:metadata:cs:ContentCS:2010:3.4,
Family,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9,
Gay/Lesbian,urn:tva:metadata:cs:ContentCS:2010:3.4,
Horror,urn:tva:metadata:cs:ContentCS:2010:3.4.6.6,
Music/Musical,urn:tva:metadata:cs:ContentCS:2010:3.1.4,
Romance,urn:tva:metadata:cs:ContentCS:2010:3.4.3,
Sci-Fi/Fantasy,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,
Special Interest,urn:tva:metadata:cs:ContentCS:2010:3.8,
Sport,urn:tva:metadata:cs:ContentCS:2010:3.2,
Teen,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3,
Television,urn:tva:metadata:cs:ContentCS:2010:3.5,
Thriller,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,
World Cinema,urn:tva:metadata:cs:ContentCS:2010:3.4,
