"Top Level (Level 1) ID Number","Second Level ID Number","Third Level ID Number","Combination ID (ASSET_CATEGORY_APPLICABLE_TERM ID)","Canvas 1","Canvas 2","Canvas 3","Canvas 4"
100010,"200089",,"C00102","urn:tva:metadata:cs:ContentCS:2010:3.2.11",,,
100010,"200090",,"C00103","urn:tva:metadata:cs:ContentCS:2010:3.2.3.14",,,
100010,"200091",,"C00104","urn:tva:metadata:cs:ContentCS:2010:3.2.7.3",,,
100010,"200092",,"C00105","urn:tva:metadata:cs:ContentCS:2010:3.2.6.7",,,
100010,"200093",,"C00106","urn:tva:metadata:cs:ContentCS:2010:3.2.6.8",,,
100010,"200094",,"C00107","urn:tva:metadata:cs:ContentCS:2010:3.2.4.5",,,
100010,"200095",,"C00108","urn:tva:metadata:cs:ContentCS:2010:3.2.6.11",,,
100010,"200096",,"C00109","http://refdata.youview.com/mpeg7cs/YouViewEventCS/2012-02-06#10.1.2",,,
100010,"200097",,"C00110","http://refdata.youview.com/mpeg7cs/YouViewEventCS/2012-02-06#10.1.8",,,
100010,"200098",,"C00111","http://refdata.youview.com/mpeg7cs/YouViewEventCS/2012-02-06#10.1.6",,,
100010,"200099",,"C00112","urn:tva:metadata:cs:ContentCS:2010:3.2.3.27",,,
100010,"200100",,"C00114","urn:tva:metadata:cs:ContentCS:2010:3.2.24",,,
100010,"200100","300005","C00125","http://refdata.youview.com/mpeg7cs/YouViewEventCS/2012-02-06#10.1.7",,,
100010,"200100","300006","C00126","http://refdata.youview.com/mpeg7cs/YouViewEventCS/2012-02-06#10.1.9",,,
100010,"200101",,"C00115","urn:tva:metadata:cs:ContentCS:2010:3.2.3.3","urn:tva:metadata:cs:ContentCS:2010:3.2.3.23",,
100010,"200102",,"C00116","urn:tva:metadata:cs:ContentCS:2010:3.2.10",,,
100010,"200103",,"C00117","urn:tva:metadata:cs:ContentCS:2010:3.2.5.3",,,
100010,"200104",,"C00118","urn:tva:metadata:cs:ContentCS:2010:3.2.3.17",,,
100010,"200105",,"C00119","urn:tva:metadata:cs:ContentCS:2010:3.2.12.6",,,
100010,"200106",,"C00120","urn:tva:metadata:cs:ContentCS:2010:3.2.4.6",,,
100010,"200107",,"C00121","urn:tva:metadata:cs:ContentCS:2010:3.2.1.6",,,
100010,"200108",,"C00122","urn:tva:metadata:cs:ContentCS:2010:3.2.13.5",,,
100010,"200109",,"C00123","urn:tva:metadata:cs:ContentCS:2010:3.2.7",,,
100010,"200116",,"C00175","urn:tva:metadata:cs:ContentCS:2010:3.2.12.1",,,
100010,"200117",,"C00176","urn:tva:metadata:cs:ContentCS:2010:3.2.3.7",,,
100010,"200118",,"C00177","urn:tva:metadata:cs:ContentCS:2010:3.2.6.3",,,
100010,"200119",,"C00178","urn:tva:metadata:cs:ContentCS:2010:3.2.6.4",,,
100010,"200120",,"C00179","urn:tva:metadata:cs:ContentCS:2010:3.2.16",,,
100010,"200121",,"C00180","urn:tva:metadata:cs:ContentCS:2010:3.2.3.13",,,
100010,"200122",,"C00181","urn:tva:metadata:cs:ContentCS:2010:3.2.20",,,
100010,"200123",,"C00182","urn:tva:metadata:cs:ContentCS:2010:3.2.3.20",,,
100010,"200124",,"C00183","urn:tva:metadata:cs:ContentCS:2010:3.2.5.8",,,
100010,"200125",,"C00184","urn:tva:metadata:cs:ContentCS:2010:3.2.3.21",,,
100010,"200126",,"C00185","urn:tva:metadata:cs:ContentCS:2010:3.2.6.12",,,
100010,"200127",,"C00186","urn:tva:metadata:cs:ContentCS:2010:3.2.13.6",,,
100010,"200132",,"C00205","urn:tva:metadata:cs:ContentCS:2010:3.2.3.1",,,
100010,"200133",,"C00206","urn:tva:metadata:cs:ContentCS:2010:3.2.7.11",,,
100010,"200134",,"C00207","urn:tva:metadata:cs:ContentCS:2010:3.2.7.21",,,
100010,"200135",,"C00208","urn:tva:metadata:cs:ContentCS:2010:3.2.7.1",,,
100010,"200136",,"C00209","urn:tva:metadata:cs:ContentCS:2010:3.2.7.8",,,
100010,"200137",,"C00210","urn:tva:metadata:cs:ContentCS:2010:3.2.7.2",,,
100010,"200138",,"C00211","urn:tva:metadata:cs:ContentCS:2010:3.2.7.17",,,
100010,"200139",,"C00212","urn:tva:metadata:cs:ContentCS:2010:3.2.7.12",,,
100010,"200140",,"C00213","urn:tva:metadata:cs:ContentCS:2010:3.2.7.5",,,
100010,"200141",,"C00214","urn:tva:metadata:cs:ContentCS:2010:3.2.7.8","urn:tva:metadata:cs:ContentCS:2010:3.2.7.15",,
100010,"200142",,"C00215","urn:tva:metadata:cs:ContentCS:2010:3.2.7.20",,,
100010,"200143",,"C00216","urn:tva:metadata:cs:ContentCS:2010:3.2.7.1",,,
100010,"200144",,"C00217","urn:tva:metadata:cs:ContentCS:2010:3.2.7.15",,,
100010,"200145",,"C00218","urn:tva:metadata:cs:ContentCS:2010:3.2.7.16",,,
100010,"200146",,"C00219","urn:tva:metadata:cs:ContentCS:2010:3.2.7.10",,,
100009,,,"C00113","urn:tva:metadata:cs:ContentCS:2010:3.1.1.13",,,
100011,,,"C00193","urn:tva:metadata:cs:ContentCS:2010:3.5.7",,,
100011,"200129",,"C00202","urn:tva:metadata:cs:ContentCS:2010:3.5.7.7",,,
100011,"200008",,"C00194","urn:tva:metadata:cs:ContentCS:2010:3.5.7.9",,,
100011,"200130",,"C00203","urn:tva:metadata:cs:ContentCS:2010:3.5.7.11",,,
100011,"200009",,"C00195","urn:tva:metadata:cs:ContentCS:2010:3.5.7.4",,,
100011,"200010",,"C00196","urn:tva:metadata:cs:ContentCS:2010:3.5.7.3",,,
100011,"200011",,"C00197","urn:tva:metadata:cs:ContentCS:2010:3.5.7.1",,,
100011,"200012",,"C00198","urn:tva:metadata:cs:ContentCS:2010:3.5.7.7",,,
100011,"200013",,"C00199","urn:tva:metadata:cs:ContentCS:2010:3.5.7","urn:tva:metadata:cs:FormatCS:2010:2.4.4",,
100011,"200131",,"C00204","urn:tva:metadata:cs:ContentCS:2010:3.5.7.10",,,
100012,,,"C00200","urn:tva:metadata:cs:ContentCS:2010:3.5",,,
100012,"200014",,"C00201","urn:tva:metadata:cs:ContentCS:2010:3.5.3",,,
100010,"200084","300054","C00220","urn:tva:metadata:cs:ContentCS:2010:3.2.2",,,
100010,"200084","300055","C00221","urn:tva:metadata:cs:ContentCS:2010:3.2.2",,,
100010,"200084","300056","C00222","urn:tva:metadata:cs:ContentCS:2010:3.2.2",,,
100010,"200084","300057","C00223","urn:tva:metadata:cs:ContentCS:2010:3.2.2",,,
100010,"200102","300058","C00224","urn:tva:metadata:cs:ContentCS:2010:3.2.10",,,
100010,"200102","300059","C00225","urn:tva:metadata:cs:ContentCS:2010:3.2.10",,,
100010,"200102","300060","C00226","urn:tva:metadata:cs:ContentCS:2010:3.2.10",,,
100010,"200118","300061","C00227","urn:tva:metadata:cs:ContentCS:2010:3.2.6.3",,,
100010,"200118","300062","C00228","urn:tva:metadata:cs:ContentCS:2010:3.2.6.3",,,
100010,"200147",,"C00229","urn:tva:metadata:cs:ContentCS:2010:3.2.3.21",,,
100010,"200148",,"C00230","urn:tva:metadata:cs:ContentCS:2010:3.2.6.12",,,
